,VOLUME,VWAP,IMS,TRADES,CONC,TAM_VOLUME,TAM_VWAP,TAM_IMS,TAM_TRADES,TAM_CONC,HFA_VOLUME,HFA_VWAP,HFA_IMS,HFA_TRADES,HFA_CONC,RTW_VOLUME,RTW_VWAP,RTW_IMS,RTW_TRADES,RTW_CONC,B,S,E,F
0,29118,34.41,7,7,0.3,29118.0,34.41,7.0,7.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
1,10770000,107.28,6,6,0.5,10770000.0,107.28,6.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
4,280673,10.94,20,36,0.35,184977.0,10.97,13.0,20.0,0.66,95696.0,10.87,7.0,16.0,0.58,0.0,0.0,0.0,0.0,0.0,1,0,1,0
5,549700,1935.19,9,10,0.23,549700.0,1935.19,9.0,10.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
6,213233,23.33,26,39,0.32,197345.0,23.33,19.0,29.0,0.37,15888.0,23.34,7.0,10.0,0.49,0.0,0.0,0.0,0.0,0.0,1,0,1,0
7,21129,30.22,11,18,0.3,13839.0,30.17,7.0,10.0,0.45,7290.0,30.32,4.0,8.0,0.94,0.0,0.0,0.0,0.0,0.0,0,1,1,0
8,18433,7.02,3,6,0.62,0.0,0.0,0.0,0.0,0.0,18433.0,7.02,3.0,6.0,0.62,0.0,0.0,0.0,0.0,0.0,1,0,1,0
9,8700,117.22,3,3,0.54,8700.0,117.22,3.0,3.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
10,1083815,22.43,32,43,0.09,965176.0,22.45,28.0,39.0,0.11,118639.0,22.28,4.0,4.0,0.34,0.0,0.0,0.0,0.0,0.0,1,0,1,0
11,1911,9.39,3,3,0.33,1911.0,9.39,3.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
12,1313335,19.89,22,38,0.38,1147700.0,19.91,19.0,26.0,0.48,165635.0,19.75,3.0,12.0,0.75,0.0,0.0,0.0,0.0,0.0,1,0,1,0
13,123753,76.2,18,25,0.81,123753.0,76.2,18.0,25.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
